Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
1158614_Enterococcus_gilvus	17.85	0.0	Neural Network (Specific Model)	11	0.872	3633	248.32544378698225	432263	0.42	507	125	10260	None
1308_Streptococcus_thermophilus	91.36	1.23	Neural Network (Specific Model)	11	0.848	20656	258.66500277315583	1644779	0.39	1803	112	51537	None
1318_Streptococcus_parasanguinis	62.11	2.19	Neural Network (Specific Model)	11	0.902	6880	277.3505586592179	1318813	0.42	1432	212	47338	None
1335613_Gordonibacter_urolithinfaciens	10.37	0.03	Neural Network (Specific Model)	11	0.87	3186	254.36676217765043	611784	0.67	698	186	12996	None
1366_Lactococcus_raffinolactis	91.39	3.07	Neural Network (Specific Model)	11	0.869	27343	277.21152952115295	2053357	0.39	2151	122	88075	None
1408428_Bilophila_wadsworthia	14.04	0.0	Neural Network (Specific Model)	11	0.84	2860	257.17590822179733	479585	0.61	523	166	9540	None
150055_Streptococcus_lutetiensis	95.02	0.04	Neural Network (Specific Model)	11	0.875	69151	282.8430517711172	1776485	0.37	1835	36	170932	None
1547_Erysipelatoclostridium_ramosum	96.73	2.76	Gradient Boost (General Model)	11	0.883	102503	295.1306888068881	3254871	0.31	3252	47	222261	None
160453_Enterococcus_gilvus	20.94	0.44	Neural Network (Specific Model)	11	0.887	7204	279.3874643874644	662171	0.44	702	97	17452	None
1628085_Agathobaculum_butyriciproducens	100.0	2.61	Gradient Boost (General Model)	11	0.846	80897	308.7155499367889	2594175	0.55	2373	62	191565	None
1736_Eubacterium_limosum	86.63	0.8	Neural Network (Specific Model)	11	0.893	152701	317.82253269916765	3586774	0.47	3364	31	575564	None
187326_Megasphaera_micronuciformis	85.56	0.47	Neural Network (Specific Model)	11	0.907	161278	322.27162162162165	1574732	0.45	1480	14	432344	None
216816_Bifidobacterium_longum	85.89	0.11	Neural Network (Specific Model)	11	0.88	42042	345.0149253731343	1968990	0.6	1675	86	102644	None
2292349_Eubacterium_sp._AM28-29	90.64	0.36	Neural Network (Specific Model)	11	0.9	94469	316.0376217668794	3130806	0.43	2977	62	324154	None
261299_Intestinibacter_bartlettii	49.43	0.98	Gradient Boost (General Model)	11	0.848	5511	267.1875	1118280	0.29	1184	214	34731	None
28025_Bifidobacterium_animalis	86.32	0.78	Neural Network (Specific Model)	11	0.88	62320	359.9794721407625	1672137	0.61	1364	40	111151	None
286133_uncultured_Sutterella_sp.	96.3	0.37	Gradient Boost (General Model)	11	0.862	52738	325.6084828711256	2079497	0.5	1839	59	176015	None
292800_Flavonifractor_plautii	99.98	2.27	Neural Network (Specific Model)	11	0.883	67469	304.2198761261261	3663945	0.62	3552	99	287997	None
3003662_Bacteroides_clarus	10.08	0.0	Gradient Boost (General Model)	11	0.85	5978	305.8	21588	0.48	20	5	6260	None
3017874_Enterococcus_gilvus	30.98	0.11	Neural Network (Specific Model)	11	0.879	3881	251.64226898444647	937041	0.42	1093	255	11798	None
3018671_Actinomyces_sp._ICM47	10.35	0.0	Neural Network (Specific Model)	11	0.911	2764	260.625	356431	0.65	416	129	5401	None
39777_Veillonella_atypica	100.0	2.34	Neural Network (Specific Model)	11	0.889	126762	320.58017644006225	2082879	0.39	1927	28	268332	None
39778_Veillonella_dispar	73.67	2.47	Neural Network (Specific Model)	11	0.882	7888	288.14330218068534	1570446	0.38	1605	236	46832	None
418240_Blautia_wexlerae	66.02	0.1	Neural Network (Specific Model)	11	0.861	27796	307.31409544950054	2889826	0.41	2703	184	80897	None
435842_Streptococcus_sp._C150	11.57	0.02	Neural Network (Specific Model)	11	0.868	3179	274.94986807387863	359446	0.39	379	108	12554	None
47715_Lacticaseibacillus_rhamnosus	99.98	0.08	Neural Network (Specific Model)	11	0.851	49497	301.2444942142591	2838676	0.47	2679	86	150831	None
562_Escherichia_coli	99.38	3.03	Neural Network (Specific Model)	11	0.887	21285	304.6104966384732	4740298	0.51	4611	335	104773	None
571_Klebsiella_oxytoca	83.11	3.06	Neural Network (Specific Model)	11	0.884	22928	305.26437011816546	5161752	0.55	4993	317	92377	None
626929_Bacteroides_clarus	92.25	0.52	Neural Network (Specific Model)	11	0.912	58654	362.3416334661355	3585060	0.46	3012	102	134609	None
674529_Bacteroides_faecis	94.57	5.07	Neural Network (Specific Model)	11	0.897	70504	357.5335115131579	5810514	0.42	4864	134	222671	None
703613_Bifidobacterium_animalis	13.85	0.0	Neural Network (Specific Model)	11	0.851	94376	281.9166666666667	166743	0.6	168	4	94376	None
706434_Megasphaera_micronuciformis	26.29	0.01	Gradient Boost (General Model)	11	0.884	37069	271.44615384615383	59805	0.47	65	3	37069	None
729_Haemophilus_parainfluenzae	52.21	3.73	Neural Network (Specific Model)	11	0.907	4272	260.1924914675768	1259135	0.39	1465	300	35638	None
820_Bacteroides_uniformis	89.66	0.28	Neural Network (Specific Model)	11	0.911	69762	366.2900809109979	4018676	0.47	3337	84	331287	None
84112_Eggerthella_lenta	100.0	0.23	Neural Network (Specific Model)	11	0.876	86280	335.3871767623096	3235759	0.64	2823	55	242078	None
