Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
1262889_Eubacterium_sp._CAG:38	99.8	4.46	Neural Network (Specific Model)	11	0.895	140554	326.03501506024094	2899183	0.42	2656	26	324749	None
1305_Streptococcus_sanguinis	72.69	1.15	Neural Network (Specific Model)	11	0.9	14978	287.1295039164491	1828590	0.43	1915	154	47130	None
1308_Streptococcus_thermophilus	80.84	3.07	Neural Network (Specific Model)	11	0.849	23107	257.4754491017964	1515353	0.39	1670	100	68044	None
1359_Lactococcus_lactis	11.92	0.0	Neural Network (Specific Model)	11	0.859	2701	223.98493975903614	259071	0.36	332	94	6136	None
1366_Lactococcus_raffinolactis	92.64	1.07	Neural Network (Specific Model)	11	0.871	33365	280.89545676599903	1976289	0.39	2047	90	112391	None
137838_Clostridium_neonatale	100.0	2.94	Neural Network (Specific Model)	11	0.833	38626	296.38011438627365	4845049	0.28	4546	189	176804	None
1381_Atopobium_minutum	94.66	0.12	Neural Network (Specific Model)	11	0.904	246420	339.59600614439324	1465998	0.49	1302	8	582385	None
1414721_Clostridium_jeddahense	99.38	2.55	Gradient Boost (General Model)	11	0.849	246613	293.8976239366383	3534518	0.52	3409	31	470397	None
150055_Streptococcus_lutetiensis	90.66	2.11	Neural Network (Specific Model)	11	0.869	50362	280.46599213041037	1720076	0.37	1779	51	145670	None
1547_Erysipelatoclostridium_ramosum	100.0	3.07	Gradient Boost (General Model)	11	0.889	106847	307.42861586314154	3328820	0.31	3215	42	320301	None
184870_Varibaculum_cambriense	95.54	0.65	Neural Network (Specific Model)	11	0.897	177871	357.44630484988454	2067715	0.53	1732	24	429466	None
187326_Megasphaera_micronuciformis	90.92	0.3	Neural Network (Specific Model)	11	0.909	326259	317.2815649081209	1763930	0.45	1687	12	590606	None
208479_Enterocloster_bolteae	99.99	3.19	Neural Network (Specific Model)	11	0.891	239422	325.9425287356322	5908832	0.49	5394	47	704245	None
2086578_Intestinibacillus_sp._Marseille-P4005	94.72	0.25	Gradient Boost (General Model)	11	0.887	93286	292.98066783831285	2812996	0.57	2845	47	268605	None
244366_Klebsiella_variicola	84.56	4.58	Neural Network (Specific Model)	11	0.884	41081	308.1018851938149	4926477	0.57	4721	223	194244	None
246796_Pedobacter_himalayensis	75.04	3.88	Neural Network (Specific Model)	11	0.9	11846	293.0530747639704	3821624	0.56	3919	429	65571	None
28025_Bifidobacterium_animalis	95.03	3.2	Neural Network (Specific Model)	11	0.876	53906	352.0891472868217	1864896	0.61	1548	57	127854	None
29466_Veillonella_parvula	93.48	4.19	Neural Network (Specific Model)	11	0.879	295463	333.70470524607896	2102270	0.39	1849	17	349427	None
3024741_uncultured_Actinomyces_sp.	11.44	0.0	Neural Network (Specific Model)	11	0.94	8301	305.3958333333333	233549	0.65	240	35	15537	None
3026596_Schaalia_radingae	36.26	0.16	Gradient Boost (General Model)	11	0.898	9938	292.04761904761904	40904	0.58	42	5	10549	None
3028544_Clostridium_sartagoforme	11.63	0.01	Neural Network (Specific Model)	11	0.856	2821	242.5027027027027	157056	0.29	185	55	8116	None
33945_Enterococcus_avium	98.84	2.59	Gradient Boost (General Model)	11	0.859	41135	283.85885585810644	3963250	0.39	4003	166	98794	None
360807_Roseburia_inulinivorans	99.95	1.1	Neural Network (Specific Model)	11	0.882	87299	312.1733682983683	3635433	0.41	3432	76	532199	None
37734_Enterococcus_casseliflavus	32.12	0.08	Neural Network (Specific Model)	11	0.875	3905	263.60276497695855	978383	0.43	1085	243	14196	None
395631_Phytobacter_diazotrophicus	22.06	0.07	Neural Network (Specific Model)	11	0.88	3824	250.65670731707317	1398378	0.53	1640	369	12622	None
43675_Rothia_mucilaginosa	63.83	0.24	Neural Network (Specific Model)	11	0.838	10698	315.94083812654065	1375723	0.6	1217	162	36126	None
48296_Acinetobacter_pittii	100.0	0.16	Neural Network (Specific Model)	11	0.881	81076	296.9760717846461	4050903	0.39	4012	79	402156	None
53345_Enterococcus_durans	99.67	0.49	Neural Network (Specific Model)	11	0.837	40606	303.4365671641791	2619752	0.38	2412	92	158274	None
539_Eikenella_corrodens	14.71	0.0	Neural Network (Specific Model)	11	0.842	2433	221.4418604651163	270964	0.56	344	107	5340	None
582_Morganella_morganii	99.43	4.29	Neural Network (Specific Model)	11	0.873	90457	306.0495096866778	4388456	0.51	4181	99	280796	None
729_Haemophilus_parainfluenzae	80.6	1.6	Neural Network (Specific Model)	11	0.914	8974	283.8692480359147	1657840	0.4	1782	219	39483	None
817_Bacteroides_fragilis	99.63	0.38	Neural Network (Specific Model)	11	0.897	259504	361.43700592885375	4887939	0.43	4048	30	645876	None
83427_uncultured_Streptococcus_sp.	89.41	3.7	Neural Network (Specific Model)	11	0.885	18538	299.7526260504202	1930333	0.42	1904	158	87742	None
84031_Clostridium_sartagoforme	84.68	2.06	Neural Network (Specific Model)	11	0.845	10931	294.67644118627123	3136922	0.29	3001	348	57519	None
84112_Eggerthella_lenta	99.99	0.09	Neural Network (Specific Model)	11	0.875	115646	334.72151898734177	3348107	0.64	2923	51	215397	None
888746_Streptococcus_peroris	19.49	0.04	Neural Network (Specific Model)	11	0.899	2936	238.11463414634147	324954	0.39	410	109	8271	None
