Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
1241616_Staphylococcus_aureus	24.58	0.09	Neural Network (Specific Model)	11	0.831	6244	265.0017574692443	543822	0.32	569	106	27101	None
1260_Finegoldia_magna	99.94	0.1	Neural Network (Specific Model)	11	0.912	104319	312.36553945249597	1910633	0.32	1863	32	398627	None
1280_Staphylococcus_aureus	68.15	1.26	Neural Network (Specific Model)	11	0.844	18603	289.9931722689076	1958385	0.33	1904	125	76686	None
1282_Staphylococcus_epidermidis	96.16	2.21	Neural Network (Specific Model)	11	0.843	56834	299.275462962963	2296452	0.32	2160	85	210750	None
1290_Staphylococcus_hominis	95.4	4.08	Neural Network (Specific Model)	11	0.869	80522	296.1777566539924	2148823	0.31	2104	46	261825	None
131110_Schaalia_radingae	98.53	0.78	Neural Network (Specific Model)	11	0.908	125523	348.490625	2204885	0.59	1920	23	256507	None
1328_Streptococcus_anginosus	99.96	2.65	Neural Network (Specific Model)	11	0.882	90496	285.8703703703704	1937432	0.39	1998	46	309286	None
1343_Streptococcus_vestibularis	92.54	0.03	Neural Network (Specific Model)	11	0.869	49184	295.25903279599777	1830119	0.4	1799	57	105514	None
1351_Enterococcus_faecalis	94.14	0.62	Neural Network (Specific Model)	11	0.885	144818	306.397718332022	2635951	0.37	2542	30	608324	None
137838_Clostridium_neonatale	100.0	2.3	Neural Network (Specific Model)	11	0.831	45586	286.1631518404908	5381121	0.28	5216	201	150259	None
1384081_Veillonella_sp._DNF00869	89.34	4.28	Neural Network (Specific Model)	11	0.89	77369	332.8381897086175	1807587	0.39	1613	43	146201	None
1465756_Peptoniphilus_grossensis	95.27	0.22	Gradient Boost (General Model)	11	0.908	107273	317.42793081358104	1633269	0.32	1561	24	201710	None
1502_Clostridium_perfringens	96.28	0.18	Neural Network (Specific Model)	11	0.843	265780	314.66744496330887	3353171	0.28	2998	18	894341	None
1597_Lacticaseibacillus_paracasei	93.39	0.04	Neural Network (Specific Model)	11	0.857	98362	303.06293436293436	2741841	0.46	2590	49	255937	None
1598_Limosilactobacillus_reuteri	42.82	0.06	Neural Network (Specific Model)	11	0.873	4582	258.94900497512435	714150	0.39	804	168	14607	None
216816_Bifidobacterium_longum	42.23	0.71	Neural Network (Specific Model)	11	0.88	82241	363.33563218390805	1076096	0.6	870	16	193389	None
278064_uncultured_Dialister_sp.	99.97	1.47	Neural Network (Specific Model)	11	0.889	42916	303.5846153846154	1660518	0.43	1625	66	83464	None
28035_Staphylococcus_lugdunensis	86.54	0.53	Neural Network (Specific Model)	11	0.855	47476	298.06188340807176	2329872	0.34	2230	65	157029	None
28116_Bacteroides_ovatus	71.41	2.78	Neural Network (Specific Model)	11	0.91	138906	406.81451370069254	4451242	0.42	3321	47	812581	None
28125_Prevotella_bivia	94.73	0.06	Neural Network (Specific Model)	11	0.869	68580	335.6355421686747	2304727	0.39	1992	70	113502	None
29363_Clostridium_paraputrificum	35.59	1.15	Neural Network (Specific Model)	11	0.881	3790	260.2173566878981	1111349	0.31	1256	297	16557	None
371601_Bacteroides_xylanisolvens	75.06	0.07	Neural Network (Specific Model)	11	0.898	101038	370.4958884519128	3457675	0.42	2797	58	242282	None
37637_Corynebacterium_pseudodiphtheriticum	66.61	0.24	Neural Network (Specific Model)	11	0.903	18384	326.766732935719	1635466	0.57	1509	95	57280	None
395631_Phytobacter_diazotrophicus	86.29	1.63	Neural Network (Specific Model)	11	0.882	25214	291.1248992747784	4908169	0.53	4964	307	109696	None
47770_Lactobacillus_crispatus	12.18	0.01	Neural Network (Specific Model)	11	0.891	2994	234.7556179775281	280975	0.37	356	97	6436	None
48296_Acinetobacter_pittii	99.87	0.21	Neural Network (Specific Model)	11	0.882	66787	294.4838295687885	3899104	0.39	3896	79	272916	None
537012_Bacteroides_cellulosilyticus	18.33	0.56	Neural Network (Specific Model)	11	0.913	4221	343.8929539295393	1666169	0.43	1476	422	14915	None
573_Klebsiella_pneumoniae	87.68	0.76	Neural Network (Specific Model)	11	0.884	158630	311.1111111111111	4706668	0.58	4464	37	710898	None
68891_Streptococcus_peroris	70.5	2.74	Neural Network (Specific Model)	11	0.901	18123	278.241456166419	1245353	0.39	1346	97	64610	None
820_Bacteroides_uniformis	89.21	0.22	Neural Network (Specific Model)	11	0.911	127139	372.8286499694563	4012710	0.47	3274	40	363837	None
