Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
1034346_Dielma_fastidiosa	99.96	0.63	Neural Network (Specific Model)	11	0.906	151139	310.4509621353197	3303956	0.4	3222	31	373530	None
105841_Anaerostipes_caccae	99.87	1.06	Neural Network (Specific Model)	11	0.906	172567	308.26476251604623	3174415	0.45	3116	26	442882	None
1078480_Haemophilus_sputorum	89.05	2.41	Neural Network (Specific Model)	11	0.901	31023	307.6261737089202	1744033	0.39	1704	90	124477	None
1120996_Anaerosporobacter_mobilis	12.18	0.0	Gradient Boost (General Model)	11	0.838	2459	214.23809523809524	32191	0.35	42	12	5453	None
1128111_Veillonella_atypica	11.63	0.46	Neural Network (Specific Model)	11	0.851	18688	292.8448275862069	299216	0.39	290	35	41461	None
1291051_Mediterraneibacter_glycyrrhizinilyticus	10.62	0.23	Neural Network (Specific Model)	11	0.892	46122	295.89130434782606	320024	0.45	322	22	81897	None
1322_Blautia_hansenii	83.59	4.39	Neural Network (Specific Model)	11	0.888	46667	325.4821011673152	2821813	0.44	2570	86	131646	None
150055_Streptococcus_lutetiensis	82.46	2.6	Neural Network (Specific Model)	11	0.873	36373	274.38257993384786	1707739	0.37	1814	76	114276	None
1547_Erysipelatoclostridium_ramosum	88.61	3.2	Gradient Boost (General Model)	11	0.887	75926	308.5679419525066	3159098	0.31	3032	63	225052	None
1550024_Ruthenibacterium_lactatiformans	94.56	2.99	Gradient Boost (General Model)	11	0.873	70333	315.73637557452395	3301336	0.58	3046	68	273682	None
1579_Lactobacillus_acidophilus	40.18	0.02	Neural Network (Specific Model)	11	0.893	6599	260.2249093107618	722255	0.35	827	130	18211	None
165186_uncultured_Ruminococcus_sp.	99.26	0.39	Neural Network (Specific Model)	11	0.884	38343	312.01710376282784	2779963	0.47	2631	109	134051	None
1653434_Sellimonas_intestinalis	88.52	3.3	Neural Network (Specific Model)	11	0.901	43925	308.26763110307417	2831600	0.45	2765	106	232963	None
169435_Anaerotruncus_colihominis	78.48	0.2	Gradient Boost (General Model)	11	0.877	24343	305.72378075097106	2420035	0.55	2317	124	63430	None
187326_Megasphaera_micronuciformis	81.63	0.16	Neural Network (Specific Model)	11	0.913	32698	313.27433628318585	1510546	0.45	1469	65	102260	None
1897011_Oscillibacter_sp._57_20	11.78	0.25	Neural Network (Specific Model)	11	0.881	53367	275.30298719772406	657634	0.54	703	27	98933	None
1912855_Faecalimonas_umbilicata	85.4	3.31	Neural Network (Specific Model)	11	0.899	75536	319.8457963667089	2521584	0.42	2367	58	174902	None
2292351_Eubacterium_sp._AM49-13BH	87.54	1.23	Neural Network (Specific Model)	11	0.902	120692	316.1977030352748	2558540	0.38	2438	42	317835	None
261299_Intestinibacter_bartlettii	76.79	5.05	Gradient Boost (General Model)	11	0.857	14692	289.5998484274346	2671929	0.29	2639	249	61636	None
264463_Anaerosporobacter_mobilis	67.19	1.21	Neural Network (Specific Model)	11	0.873	8096	308.28334680679063	2617811	0.35	2474	351	37232	None
28025_Bifidobacterium_animalis	89.81	0.31	Neural Network (Specific Model)	11	0.878	28349	346.85272846811307	1801271	0.61	1521	90	87327	None
28026_Bifidobacterium_pseudocatenulatum	59.26	0.63	Neural Network (Specific Model)	11	0.893	396505	354.2834489593657	1199504	0.57	1009	4	408730	None
290055_Faecalicatena_fissicatena	62.41	4.53	Neural Network (Specific Model)	11	0.883	39199	343.2022336251132	3854155	0.45	3313	117	148132	None
3008090_Anaerotruncus_colihominis	10.48	0.15	Neural Network (Specific Model)	11	0.872	14542	249.89772727272728	527703	0.53	616	62	49504	None
3008350_Blautia_hansenii	10.31	0.0	Neural Network (Specific Model)	11	0.868	31824	314.38926174496646	161754	0.44	149	9	67508	None
3012498_Streptococcus_sp._F0442	10.96	0.01	Neural Network (Specific Model)	11	0.917	3196	270.0	208784	0.42	237	66	8223	None
3013743_Faecalicatena_fissicatena	34.21	5.64	Neural Network (Specific Model)	11	0.865	12622	323.30438842203546	1199203	0.45	1071	124	55792	None
3024256_uncultured_Veillonella_sp.	11.39	0.0	Neural Network (Specific Model)	11	0.917	3958	281.16923076923075	178854	0.37	195	47	10987	None
39777_Veillonella_atypica	69.82	1.05	Neural Network (Specific Model)	11	0.898	18613	314.32871720116617	1438837	0.39	1372	122	51223	None
39778_Veillonella_dispar	45.93	4.14	Neural Network (Specific Model)	11	0.873	4704	267.6751638747269	1260879	0.37	1373	272	41174	None
445972_Anaerotruncus_colihominis	13.44	0.0	Neural Network (Specific Model)	11	0.877	16024	294.2540192926045	312620	0.54	311	32	84886	None
445974_Erysipelatoclostridium_ramosum	10.77	0.0	Neural Network (Specific Model)	11	0.869	12833	244.28541226215646	397678	0.3	473	44	42311	None
47715_Lacticaseibacillus_rhamnosus	99.43	1.13	Neural Network (Specific Model)	11	0.855	40685	303.2015532544379	2870723	0.47	2704	114	126271	None
546_Citrobacter_freundii	16.24	0.0	Neural Network (Specific Model)	11	0.903	3373	274.11870100783875	811574	0.53	893	251	7332	None
573_Klebsiella_pneumoniae	22.19	0.04	Neural Network (Specific Model)	11	0.887	3653	255.42924528301887	1279844	0.59	1484	360	11533	None
592978_Mediterraneibacter_faecis	75.52	1.75	Neural Network (Specific Model)	11	0.884	9169	291.5245119305857	2276920	0.41	2305	303	48298	None
729_Haemophilus_parainfluenzae	55.55	2.27	Neural Network (Specific Model)	11	0.906	4282	259.3530487804878	1406113	0.39	1640	335	40919	None
736_Haemophilus_paraphrohaemolyticus	71.84	0.12	Neural Network (Specific Model)	11	0.898	8096	274.4126344086022	1362889	0.41	1488	227	19930	None
818_Bacteroides_thetaiotaomicron	95.55	2.31	Neural Network (Specific Model)	11	0.907	182140	387.76877857609406	5885569	0.43	4593	49	596750	None
820_Bacteroides_uniformis	87.81	0.87	Neural Network (Specific Model)	11	0.911	23798	357.0256169946892	3757790	0.47	3201	209	101769	None
84112_Eggerthella_lenta	97.83	0.0	Neural Network (Specific Model)	11	0.878	86738	342.2020687107499	3160140	0.64	2707	48	260776	None
851_Fusobacterium_nucleatum	99.97	0.28	Neural Network (Specific Model)	11	0.895	16366	289.0359531772575	2312099	0.27	2392	208	83925	None
853_Faecalibacterium_prausnitzii	87.62	0.52	Neural Network (Specific Model)	11	0.866	133232	310.9093866171004	2313705	0.57	2152	26	287596	None
