Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
103621_Actinomyces_urogenitalis	99.99	0.12	Neural Network (Specific Model)	11	0.899	143765	352.9782818532818	2437808	0.69	2072	34	262264	None
105841_Anaerostipes_caccae	61.22	0.62	Neural Network (Specific Model)	11	0.913	4753	264.7232987832357	1925994	0.45	2219	413	15756	None
1118058_Actinomyces_sp._ph3	87.09	1.26	Neural Network (Specific Model)	11	0.916	30204	343.55649546827794	1859556	0.56	1655	88	82031	None
1190620_Atopobium_sp._ICM42b	30.23	0.02	Neural Network (Specific Model)	11	0.887	3081	275.7837259100642	435253	0.49	467	142	9875	None
1284680_Actinomyces_sp._S6-Spd3	31.27	0.03	Neural Network (Specific Model)	11	0.934	7449	313.948031496063	638768	0.57	635	97	13370	None
1298595_Veillonella_rogosae	13.66	0.0	Neural Network (Specific Model)	11	0.865	3274	250.2808510638298	407177	0.38	470	121	26291	None
1304_Streptococcus_salivarius	91.72	5.37	Neural Network (Specific Model)	11	0.889	25534	310.13793103448273	2001303	0.4	1914	123	82909	None
1318_Streptococcus_parasanguinis	86.22	2.46	Neural Network (Specific Model)	11	0.894	17208	298.64097258147956	1934218	0.42	1933	149	55187	None
1351_Enterococcus_faecalis	99.99	3.61	Neural Network (Specific Model)	11	0.887	80254	311.13107142857143	2943083	0.37	2800	56	180204	None
1597_Lacticaseibacillus_paracasei	99.65	0.06	Neural Network (Specific Model)	11	0.857	47991	294.84593539226125	2902761	0.46	2817	84	200457	None
165185_uncultured_Eubacterium_sp.	97.17	4.44	Gradient Boost (General Model)	11	0.89	69932	318.61824014665444	2339233	0.47	2182	53	294135	None
166486_Roseburia_intestinalis	86.19	1.94	Neural Network (Specific Model)	11	0.893	97893	336.6681034482759	3143813	0.43	2784	48	202732	None
1680_Bifidobacterium_adolescentis	79.26	1.85	Neural Network (Specific Model)	11	0.888	17427	333.0157133878064	1788764	0.59	1591	146	82414	None
2107999_Lactobacillus_paragasseri	93.11	0.15	Neural Network (Specific Model)	11	0.91	147581	301.3327586206897	1725706	0.35	1740	28	333616	None
214856_Alistipes_finegoldii	99.89	0.62	Neural Network (Specific Model)	11	0.897	200676	353.1718277945619	3124773	0.58	2648	28	481498	None
216816_Bifidobacterium_longum	73.84	0.09	Neural Network (Specific Model)	11	0.882	83607	347.11811023622045	1648444	0.6	1397	28	249066	None
239935_Akkermansia_muciniphila	93.81	0.26	Neural Network (Specific Model)	11	0.885	125344	347.4742912061509	2448564	0.56	2081	29	405100	None
244366_Klebsiella_variicola	83.95	2.13	Neural Network (Specific Model)	11	0.883	21917	302.7609116319071	4773845	0.58	4651	322	150230	None
261299_Intestinibacter_bartlettii	98.85	0.3	Neural Network (Specific Model)	11	0.86	61142	311.46989668685427	3046680	0.29	2807	74	170606	None
28118_Odoribacter_splanchnicus	98.5	0.35	Neural Network (Specific Model)	11	0.896	87175	354.86346863468634	4182742	0.43	3523	78	305808	None
29363_Clostridium_paraputrificum	100.0	0.81	Neural Network (Specific Model)	11	0.884	120591	293.08645229309434	3769900	0.3	3794	58	394912	None
3016596_Klebsiella_oxytoca	29.55	0.0	Gradient Boost (General Model)	11	0.841	26441	183.35849056603774	34548	0.5	53	3	26441	None
3021493_uncultured_Clostridium_sp.	46.52	0.43	Gradient Boost (General Model)	11	0.883	3663	255.875	1020619	0.28	1176	283	14621	None
3026506_Actinomyces_sp._S6-Spd3	15.71	0.6	Neural Network (Specific Model)	11	0.913	3328	281.9123287671233	337657	0.56	365	100	13236	None
324831_Lactobacillus_gasseri	13.17	0.0	Neural Network (Specific Model)	11	0.869	93000	268.71757925072046	321272	0.34	347	3	149697	None
349741_Akkermansia_muciniphila	10.22	0.02	Neural Network (Specific Model)	11	0.893	193139	350.5598591549296	334169	0.52	284	5	193139	None
39485_Lachnospira_eligens	91.77	0.14	Neural Network (Specific Model)	11	0.897	118231	320.7457892675284	2734038	0.38	2553	39	267895	None
39486_Dorea_formicigenerans	87.51	1.62	Neural Network (Specific Model)	11	0.885	104174	311.4354378818737	2587509	0.41	2455	46	365377	None
395631_Phytobacter_diazotrophicus	80.32	4.79	Neural Network (Specific Model)	11	0.884	21412	292.33886498668306	4832602	0.53	4881	354	111041	None
39777_Veillonella_atypica	72.2	0.4	Neural Network (Specific Model)	11	0.884	34544	318.2736462093863	1494331	0.39	1385	66	91542	None
39950_Dialister_pneumosintes	16.3	0.05	Neural Network (Specific Model)	11	0.875	156632	312.12841091492777	665454	0.4	623	15	200621	None
40545_Sutterella_wadsworthensis	92.71	1.16	Gradient Boost (General Model)	11	0.864	81336	347.5875585854282	2828620	0.55	2347	51	224202	None
435842_Streptococcus_sp._C150	41.24	0.59	Neural Network (Specific Model)	11	0.879	4288	256.0007462686567	1168146	0.39	1340	273	54756	None
454154_Paraprevotella_clara	95.54	0.69	Neural Network (Specific Model)	11	0.911	155803	383.2060232717317	3682680	0.48	2922	42	274179	None
47715_Lacticaseibacillus_rhamnosus	88.85	0.1	Neural Network (Specific Model)	11	0.854	40041	306.8380024360536	2650685	0.47	2463	93	183393	None
48296_Acinetobacter_pittii	99.99	0.08	Neural Network (Specific Model)	11	0.881	87632	297.3661546210023	4013861	0.39	3971	60	272874	None
487174_Barnesiella_intestinihominis	99.55	0.06	Neural Network (Specific Model)	11	0.897	333573	371.93424657534246	3174342	0.44	2555	14	505125	None
512314_uncultured_Roseburia_sp.	89.41	0.68	Neural Network (Specific Model)	11	0.882	44159	310.3809523809524	3030569	0.41	2877	111	116421	None
525338_Lactiplantibacillus_plantarum	22.97	0.07	Neural Network (Specific Model)	11	0.854	2798	238.9002320185615	722099	0.45	862	253	6468	None
562_Escherichia_coli	89.22	2.28	Neural Network (Specific Model)	11	0.882	41002	308.6910994764398	4406060	0.51	4202	175	161398	None
571_Klebsiella_oxytoca	99.9	4.67	Neural Network (Specific Model)	11	0.883	97777	317.9567879636109	6165508	0.55	5716	97	330549	None
59620_uncultured_Clostridium_sp.	12.44	0.07	Neural Network (Specific Model)	11	0.88	8000	299.44736842105266	348777	0.29	342	47	30325	None
709991_Odoribacter_splanchnicus	10.45	0.0	Gradient Boost (General Model)	11	0.907	14800	338.56	27925	0.46	25	2	14800	None
853_Faecalibacterium_prausnitzii	82.93	0.05	Neural Network (Specific Model)	11	0.864	92614	317.3716178906681	1992428	0.6	1811	32	226889	None
