Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
100884_Coprobacillus_cateniformis	43.38	0.09	Gradient Boost (General Model)	11	0.896	4104	251.93899782135077	1544518	0.31	1836	375	15672	None
1096246_Hungatella_effluvii	38.71	0.95	Neural Network (Specific Model)	11	0.903	20550	338.39516824849005	2601575	0.5	2318	178	86074	None
116085_Coprococcus_catus	84.92	0.66	Neural Network (Specific Model)	11	0.884	89222	316.3873121869783	2569066	0.44	2396	55	210931	None
1246_Leuconostoc_lactis	99.58	0.24	Neural Network (Specific Model)	11	0.908	36011	303.2547051442911	1594822	0.44	1594	68	124666	None
1262791_Clostridium_sp._CAG:288	88.65	3.89	Neural Network (Specific Model)	11	0.884	41155	317.33376835236544	3295980	0.41	3065	119	226657	None
1547_Erysipelatoclostridium_ramosum	99.45	3.15	Gradient Boost (General Model)	11	0.884	77858	298.4040348964013	3709431	0.31	3668	78	240162	None
1596_Lactobacillus_gasseri	28.6	0.0	Neural Network (Specific Model)	11	0.881	5175	277.39367088607594	745271	0.39	790	156	13385	None
1628085_Agathobaculum_butyriciproducens	96.42	0.79	Gradient Boost (General Model)	11	0.855	68992	309.2598894087622	2546225	0.55	2351	61	277556	None
166486_Roseburia_intestinalis	89.57	2.9	Neural Network (Specific Model)	11	0.895	59390	330.06598194833487	3547252	0.43	3213	105	186307	None
167968_uncultured_Desulfovibrio_sp.	55.78	1.64	Neural Network (Specific Model)	11	0.837	5636	290.90342857142855	1821160	0.63	1750	337	37381	None
1689_Bifidobacterium_dentium	64.54	1.16	Neural Network (Specific Model)	11	0.884	15262	313.9753926701571	2031328	0.58	1910	193	59907	None
187326_Megasphaera_micronuciformis	93.4	0.05	Neural Network (Specific Model)	11	0.908	152378	312.8311938382542	1607616	0.45	1558	20	188411	None
208479_Enterocloster_bolteae	59.97	3.77	Neural Network (Specific Model)	11	0.896	18377	316.50028604118995	3698339	0.5	3496	252	58517	None
216816_Bifidobacterium_longum	80.96	4.45	Neural Network (Specific Model)	11	0.874	28687	342.15131177547283	1922704	0.6	1639	95	91068	None
2292304_Clostridium_sp._AM33-3	93.87	2.95	Gradient Boost (General Model)	11	0.901	33284	325.4809064204784	2578745	0.5	2383	118	81467	None
2292372_Ruminococcus_sp._AM42-11	83.93	1.46	Neural Network (Specific Model)	11	0.873	28810	331.06610169491523	3351114	0.43	2950	170	84733	None
2293108_Eubacterium_sp._AF36-5BH	85.14	0.79	Gradient Boost (General Model)	11	0.878	19619	311.46729411764704	2259039	0.33	2125	156	78224	None
2293127_Roseburia_sp._AF12-17LB	10.91	0.46	Neural Network (Specific Model)	11	0.896	6855	276.478672985782	389399	0.42	422	61	16372	None
2585118_Alistipes_communis	67.85	4.31	Neural Network (Specific Model)	11	0.886	10690	316.9878277153558	2287535	0.59	2136	254	32545	None
28026_Bifidobacterium_pseudocatenulatum	72.05	2.5	Neural Network (Specific Model)	11	0.881	33510	347.18633540372673	1521070	0.56	1288	67	104698	None
292800_Flavonifractor_plautii	80.33	2.5	Neural Network (Specific Model)	11	0.888	52687	303.79116314199393	2711998	0.63	2648	79	135227	None
29361_Tyzzerella_nexilis	84.06	0.52	Neural Network (Specific Model)	11	0.916	47653	332.2874418604651	2334081	0.4	2150	69	123959	None
301301_Roseburia_hominis	82.29	1.58	Neural Network (Specific Model)	11	0.895	21047	320.2608695652174	2588795	0.5	2415	174	70207	None
39490_Eubacterium_ramulus	91.77	1.78	Gradient Boost (General Model)	11	0.862	21248	326.949494949495	2810722	0.43	2475	203	66846	None
562_Escherichia_coli	100.0	1.39	Neural Network (Specific Model)	11	0.886	86913	307.1187034603592	4738270	0.51	4566	94	221556	None
59620_uncultured_Clostridium_sp.	95.77	3.17	Gradient Boost (General Model)	11	0.896	17086	293.72615923009624	1123076	0.27	1143	82	48659	None
649756_Anaerostipes_hadrus	99.89	3.01	Neural Network (Specific Model)	11	0.898	37087	315.4920310584389	2574738	0.37	2447	116	84633	None
745368_Gemmiger_formicilis	85.38	3.99	Neural Network (Specific Model)	11	0.868	45000	336.76370510396976	2459887	0.6	2116	74	233173	None
765821_uncultured_Blautia_sp.	85.74	3.58	Neural Network (Specific Model)	11	0.89	37270	319.0326409495549	2895038	0.44	2696	126	83620	None
818_Bacteroides_thetaiotaomicron	96.12	1.53	Neural Network (Specific Model)	11	0.903	178412	388.6552688172043	5995566	0.43	4650	67	434485	None
