Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
1128111_Veillonella_atypica	61.79	4.22	Neural Network (Specific Model)	11	0.891	6081	282.11609814482347	1584277	0.39	1671	313	42546	None
1150423_Bifidobacterium_dentium	45.11	4.49	Neural Network (Specific Model)	11	0.886	129787	336.8149284253579	1112905	0.59	978	22	184344	None
1282_Staphylococcus_epidermidis	99.99	0.03	Neural Network (Specific Model)	11	0.839	96342	300.26721014492756	2368284	0.32	2208	51	418528	None
1290_Staphylococcus_hominis	61.4	0.01	Neural Network (Specific Model)	11	0.879	61532	299.86646201074444	1332450	0.31	1303	32	241794	None
1318_Streptococcus_parasanguinis	11.01	0.22	Neural Network (Specific Model)	11	0.887	7069	255.93866666666668	323891	0.4	375	53	38759	None
1328_Streptococcus_anginosus	100.0	4.0	Neural Network (Specific Model)	11	0.88	76121	285.34904661016947	1831990	0.39	1888	45	325649	None
137838_Clostridium_neonatale	100.0	2.8	Neural Network (Specific Model)	11	0.83	52121	295.7507584597433	4576208	0.28	4285	143	220874	None
145391_Staphylococcus_hominis	20.4	0.02	Neural Network (Specific Model)	11	0.856	48368	295.94594594594594	459701	0.32	444	26	80327	None
1502943_Veillonella_seminalis	85.72	0.05	Neural Network (Specific Model)	11	0.861	144215	314.0547203848467	1815875	0.42	1663	16	288002	None
1502_Clostridium_perfringens	91.81	0.67	Neural Network (Specific Model)	11	0.842	18359	289.74869109947645	2956511	0.28	2865	269	63872	None
1680_Bifidobacterium_adolescentis	39.9	0.28	Neural Network (Specific Model)	11	0.876	33713	349.6653333333333	897106	0.6	750	38	68258	None
1685_Bifidobacterium_breve	10.8	0.02	Neural Network (Specific Model)	11	0.865	52251	323.4824120603015	223081	0.61	199	5	109031	None
1689_Bifidobacterium_dentium	57.79	0.33	Neural Network (Specific Model)	11	0.887	98856	361.7348314606742	1631030	0.59	1335	35	170541	None
1768764_Streptococcus_sp._CCH5-D3	9.91	0.01	Neural Network (Specific Model)	11	0.834	8536	273.9618320610687	386519	0.36	393	54	43742	None
216816_Bifidobacterium_longum	61.37	0.11	Neural Network (Specific Model)	11	0.875	100507	373.17513611615243	1408272	0.6	1102	23	216035	None
28037_Streptococcus_mitis	37.51	0.83	Neural Network (Specific Model)	11	0.893	9181	285.00401606425703	951106	0.38	996	130	47326	None
28116_Bacteroides_ovatus	45.39	0.45	Neural Network (Specific Model)	11	0.908	54323	411.2526408450704	3081484	0.42	2272	104	163189	None
3000259_Bacteroides_caccae	11.27	0.0	Gradient Boost (General Model)	11	0.943	12861	505.375	12861	0.42	8	1	12861	None
3013656_Streptococcus_infantis	11.61	0.05	Neural Network (Specific Model)	11	0.906	4279	263.6094276094276	258603	0.38	297	65	9169	None
3018540_Veillonella_seminalis	17.65	0.0	Neural Network (Specific Model)	11	0.87	45032	269.1714285714286	421139	0.41	455	13	85394	None
367928_Bifidobacterium_adolescentis	12.46	0.04	Neural Network (Specific Model)	11	0.88	52498	337.1545189504373	393524	0.6	343	8	166080	None
47678_Bacteroides_caccae	92.3	5.11	Neural Network (Specific Model)	11	0.906	115704	378.2407254740313	4554013	0.42	3639	58	383650	None
48296_Acinetobacter_pittii	99.83	0.02	Neural Network (Specific Model)	11	0.879	80012	301.9719752088386	3819735	0.39	3711	67	272728	None
68892_Streptococcus_infantis	10.42	0.04	Neural Network (Specific Model)	11	0.892	3835	240.125	225872	0.38	280	59	12770	None
712310_Haemophilus_sp._oral_taxon_036	35.21	0.06	Neural Network (Specific Model)	11	0.899	6999	274.2055485498108	724464	0.37	793	122	22958	None
735_Haemophilus_parahaemolyticus	99.17	1.25	Neural Network (Specific Model)	11	0.89	59711	300.45195052331115	2125681	0.4	2102	68	129991	None
817_Bacteroides_fragilis	91.03	0.14	Neural Network (Specific Model)	11	0.895	194306	362.67747120278597	4531295	0.43	3733	41	535409	None
