Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
1121308_Clostridioides_difficile	29.92	0.0	Neural Network (Specific Model)	11	0.858	2949	249.2005444646098	958661	0.29	1102	318	11963	None
1335613_Gordonibacter_urolithinfaciens	21.92	1.47	Neural Network (Specific Model)	11	0.868	5224	273.0389794472006	1329292	0.66	1411	292	21165	None
137838_Clostridium_neonatale	99.98	3.06	Neural Network (Specific Model)	11	0.837	39734	288.5858468677494	5344949	0.28	5172	235	202869	None
1408428_Bilophila_wadsworthia	36.29	0.74	Neural Network (Specific Model)	11	0.841	3800	272.55074971164936	1681560	0.6	1734	451	22178	None
1492_Clostridium_butyricum	100.0	2.96	Neural Network (Specific Model)	11	0.853	152714	320.6603821015586	4483576	0.29	3978	60	540210	None
150055_Streptococcus_lutetiensis	99.77	0.01	Neural Network (Specific Model)	11	0.874	69234	281.425975414217	1804038	0.37	1871	36	169285	None
1736_Eubacterium_limosum	100.0	0.73	Neural Network (Specific Model)	11	0.894	242730	316.5202772073922	4130969	0.48	3896	23	549595	None
216816_Bifidobacterium_longum	99.96	0.04	Neural Network (Specific Model)	11	0.875	284372	354.4094360086768	2238705	0.6	1844	16	533566	None
261299_Intestinibacter_bartlettii	93.92	3.86	Gradient Boost (General Model)	11	0.859	11044	293.60453808752027	2527189	0.29	2468	286	163322	None
28025_Bifidobacterium_animalis	90.0	0.17	Neural Network (Specific Model)	11	0.877	35281	352.51543624161076	1794787	0.61	1490	66	88073	None
286133_uncultured_Sutterella_sp.	15.0	0.01	Neural Network (Specific Model)	11	0.872	2591	269.67045454545456	325920	0.51	352	121	4949	None
292800_Flavonifractor_plautii	99.99	3.16	Neural Network (Specific Model)	11	0.882	63096	305.88648332358105	3547703	0.62	3418	91	307133	None
29361_Tyzzerella_nexilis	18.19	0.76	Neural Network (Specific Model)	11	0.899	14071	313.2156862745098	903406	0.39	867	91	79979	None
29363_Clostridium_paraputrificum	88.66	3.64	Neural Network (Specific Model)	11	0.882	12076	274.89759694156197	3417515	0.29	3662	382	48930	None
35833_Bilophila_wadsworthia	21.57	0.01	Neural Network (Specific Model)	11	0.858	6498	288.74178403755866	644229	0.62	639	107	17528	None
39777_Veillonella_atypica	82.95	0.89	Neural Network (Specific Model)	11	0.887	25270	304.30006086427267	1689281	0.39	1643	114	64821	None
435842_Streptococcus_sp._C150	49.14	4.46	Neural Network (Specific Model)	11	0.88	4130	263.37914023960536	1272006	0.39	1419	331	15397	None
47715_Lacticaseibacillus_rhamnosus	93.63	0.13	Neural Network (Specific Model)	11	0.852	20752	292.79307721567136	2705880	0.47	2629	172	69398	None
562_Escherichia_coli	49.35	0.05	Neural Network (Specific Model)	11	0.872	352100	299.16900843034927	2560538	0.5	2491	40	527065	None
626929_Bacteroides_clarus	86.14	3.85	Neural Network (Specific Model)	11	0.912	93372	372.62476962771836	3320778	0.45	2713	51	300731	None
703613_Bifidobacterium_animalis	28.45	0.01	Gradient Boost (General Model)	11	0.855	2893	179.57575757575756	20772	0.61	33	7	5503	None
84112_Eggerthella_lenta	99.98	0.06	Neural Network (Specific Model)	11	0.876	82036	335.7520146520147	3133929	0.64	2730	54	195999	None
