Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
103621_Actinomyces_urogenitalis	99.8	0.69	Neural Network (Specific Model)	11	0.899	56208	353.2647900763359	2466541	0.69	2096	69	160498	None
1118058_Actinomyces_sp._ph3	85.21	0.17	Neural Network (Specific Model)	11	0.917	70935	346.54389438943895	1714653	0.56	1515	39	219863	None
1158614_Enterococcus_gilvus	19.86	0.16	Neural Network (Specific Model)	11	0.879	4400	257.90633608815426	637785	0.43	726	151	14715	None
1218087_Enterococcus_casseliflavus	10.71	0.0	Neural Network (Specific Model)	11	0.864	2988	246.1809210526316	259600	0.42	304	88	6312	None
1262876_Eggerthella_sp._CAG:298	88.76	0.0	Neural Network (Specific Model)	11	0.897	58300	345.1166883963494	1767485	0.54	1534	56	151733	None
1351_Enterococcus_faecalis	100.0	0.14	Neural Network (Specific Model)	11	0.886	79951	303.2108108108108	2843302	0.37	2775	47	277537	None
1496_Clostridioides_difficile	76.61	2.16	Neural Network (Specific Model)	11	0.848	5401	265.12066318698186	3051919	0.28	3257	582	39081	None
1502_Clostridium_perfringens	68.87	0.72	Neural Network (Specific Model)	11	0.844	4982	271.51256281407035	2111000	0.28	2189	443	20633	None
1547_Erysipelatoclostridium_ramosum	97.46	3.46	Gradient Boost (General Model)	11	0.877	30368	291.1497584541063	3499094	0.31	3519	197	145876	None
1550024_Ruthenibacterium_lactatiformans	98.82	0.65	Gradient Boost (General Model)	11	0.869	86065	303.3580547112462	3441716	0.58	3290	71	224800	None
1597_Lacticaseibacillus_paracasei	88.75	0.53	Neural Network (Specific Model)	11	0.854	46793	300.1247578457962	2716533	0.46	2581	94	126965	None
1689_Bifidobacterium_dentium	72.63	2.8	Neural Network (Specific Model)	11	0.888	30148	338.84554559831315	2167805	0.58	1897	111	126853	None
2058152_Klebsiella_grimontii	26.93	0.25	Neural Network (Specific Model)	11	0.889	4025	264.0239520958084	1781346	0.56	2004	432	40540	None
216816_Bifidobacterium_longum	88.21	4.3	Neural Network (Specific Model)	11	0.869	110195	331.603289791969	2363000	0.6	2067	51	209850	None
239935_Akkermansia_muciniphila	99.95	0.33	Neural Network (Specific Model)	11	0.878	152096	352.7682551883167	3134489	0.58	2602	40	463003	None
261299_Intestinibacter_bartlettii	20.48	0.0	Neural Network (Specific Model)	11	0.85	3577	251.49307958477507	512800	0.29	578	141	7029	None
291645_Bacteroides_nordii	79.36	1.21	Neural Network (Specific Model)	11	0.913	65395	401.6111111111111	5293046	0.42	4014	152	299659	None
29363_Clostridium_paraputrificum	88.8	1.93	Gradient Boost (General Model)	11	0.889	6880	270.54194156456174	2901436	0.3	3183	503	33725	None
29466_Veillonella_parvula	98.62	0.29	Neural Network (Specific Model)	11	0.879	217859	330.68506493506493	2082064	0.39	1848	27	448740	None
3017874_Enterococcus_gilvus	45.72	1.1	Neural Network (Specific Model)	11	0.878	5048	264.7342047930283	1657699	0.42	1836	354	28079	None
33012_Propionimicrobium_lymphophilum	100.0	2.45	Neural Network (Specific Model)	11	0.912	137489	329.16117936117934	2198445	0.56	2035	18	333385	None
37734_Enterococcus_casseliflavus	72.72	2.58	Neural Network (Specific Model)	11	0.885	7993	281.93622047244094	2422309	0.43	2540	344	59352	None
40545_Sutterella_wadsworthensis	35.57	0.01	Neural Network (Specific Model)	11	0.879	2765	258.27147401908803	829313	0.56	943	295	7805	None
410072_Coprococcus_comes	100.0	1.8	Neural Network (Specific Model)	11	0.883	80046	308.3824481865285	3228250	0.42	3088	60	221387	None
47715_Lacticaseibacillus_rhamnosus	90.16	0.09	Neural Network (Specific Model)	11	0.852	43883	298.76003210272876	2617308	0.47	2492	89	108400	None
573_Klebsiella_pneumoniae	73.84	2.67	Neural Network (Specific Model)	11	0.88	11863	287.63185132909905	4162930	0.58	4251	493	132748	None
817_Bacteroides_fragilis	94.77	5.36	Neural Network (Specific Model)	11	0.897	166541	359.8191030616645	5575762	0.43	4638	60	337686	None
823_Parabacteroides_distasonis	99.98	0.58	Neural Network (Specific Model)	11	0.911	109625	360.18015155218774	4843967	0.45	4091	76	207715	None
83427_uncultured_Streptococcus_sp.	94.45	4.28	Neural Network (Specific Model)	11	0.885	29820	306.83500263574064	1969686	0.42	1897	100	80361	None
84112_Eggerthella_lenta	90.97	0.97	Neural Network (Specific Model)	11	0.876	108868	343.897990140311	3099123	0.64	2637	45	188939	None
