Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
1193532_uncultured_Butyricicoccus_sp.	95.99	0.8	Gradient Boost (General Model)	11	0.868	48829	292.3822706065319	3239838	0.55	3215	97	189707	None
1262889_Eubacterium_sp._CAG:38	84.17	1.42	Neural Network (Specific Model)	11	0.899	170448	326.4273327828241	2634691	0.42	2422	31	432998	None
1308_Streptococcus_thermophilus	74.2	3.77	Neural Network (Specific Model)	11	0.844	13681	249.32843450479234	1383305	0.39	1565	138	33108	None
1351_Enterococcus_faecalis	91.95	0.9	Neural Network (Specific Model)	11	0.885	97086	315.50083963056255	2544129	0.38	2382	47	205428	None
1353_Enterococcus_gallinarum	95.47	3.18	Neural Network (Specific Model)	11	0.874	156761	296.7326603712146	3123438	0.4	3071	36	692267	None
137838_Clostridium_neonatale	14.73	0.0	Neural Network (Specific Model)	11	0.844	3323	251.8206157965194	667943	0.29	747	199	7531	None
1547_Erysipelatoclostridium_ramosum	99.95	3.86	Gradient Boost (General Model)	11	0.881	81666	302.48827420324716	3419695	0.31	3326	61	228294	None
1601_Ligilactobacillus_agilis	99.69	3.16	Neural Network (Specific Model)	11	0.896	56940	301.02463312368974	1921673	0.42	1908	48	159694	None
1613_Limosilactobacillus_fermentum	88.48	0.56	Neural Network (Specific Model)	11	0.868	49385	295.06972586412394	1707936	0.53	1678	51	182583	None
1680_Bifidobacterium_adolescentis	74.36	3.7	Neural Network (Specific Model)	11	0.883	28693	340.88181120491174	1507966	0.6	1303	94	67737	None
1685_Bifidobacterium_breve	38.55	0.16	Neural Network (Specific Model)	11	0.876	6961	297.6978346456693	1034470	0.58	1016	165	30928	None
1686_Bifidobacterium_catenulatum	64.12	1.9	Neural Network (Specific Model)	11	0.876	24847	318.17977528089887	1355117	0.56	1246	87	66105	None
1694_Bifidobacterium_pseudolongum	46.98	0.32	Neural Network (Specific Model)	11	0.898	11422	329.6463414634146	1262096	0.63	1148	131	31459	None
187326_Megasphaera_micronuciformis	98.76	0.15	Neural Network (Specific Model)	11	0.909	119505	316.3029197080292	1713385	0.45	1644	23	326264	None
216816_Bifidobacterium_longum	61.15	0.27	Neural Network (Specific Model)	11	0.87	19215	309.07547169811323	1521561	0.6	1431	108	61176	None
2292372_Ruminococcus_sp._AM42-11	93.19	2.59	Neural Network (Specific Model)	11	0.864	66803	326.2321945570353	3903710	0.43	3454	105	208141	None
249061_uncultured_Actinomyces_sp.	82.69	0.25	Neural Network (Specific Model)	11	0.895	39546	348.1866088034718	1879019	0.66	1613	63	130947	None
261299_Intestinibacter_bartlettii	88.43	2.02	Neural Network (Specific Model)	11	0.863	21255	305.09952606635073	2906549	0.29	2743	191	77494	None
292800_Flavonifractor_plautii	99.76	2.03	Neural Network (Specific Model)	11	0.887	90633	314.51416746259156	3337266	0.62	3141	64	171911	None
29361_Tyzzerella_nexilis	95.92	4.83	Neural Network (Specific Model)	11	0.912	67978	324.18860353130015	2652760	0.4	2492	53	231668	None
29363_Clostridium_paraputrificum	76.35	2.39	Neural Network (Specific Model)	11	0.889	21831	296.36801470588233	2717483	0.3	2720	169	74648	None
33945_Enterococcus_avium	92.35	1.89	Neural Network (Specific Model)	11	0.865	39582	290.1020717534108	3976562	0.39	3958	155	171273	None
360807_Roseburia_inulinivorans	88.02	1.6	Neural Network (Specific Model)	11	0.879	19855	305.2022230190032	2898969	0.42	2789	201	64824	None
37734_Enterococcus_casseliflavus	86.03	1.2	Neural Network (Specific Model)	11	0.88	63363	313.3016870658287	3222410	0.43	3023	81	254962	None
47715_Lacticaseibacillus_rhamnosus	99.66	0.09	Neural Network (Specific Model)	11	0.851	38546	300.09486607142856	2838110	0.47	2688	109	95624	None
546_Citrobacter_freundii	12.83	0.03	Neural Network (Specific Model)	11	0.893	7517	275.6643073811931	913420	0.5	989	148	42947	None
573_Klebsiella_pneumoniae	83.39	2.49	Neural Network (Specific Model)	11	0.885	32373	305.2149163568773	4443461	0.58	4304	219	168465	None
57706_Citrobacter_braakii	14.73	0.0	Neural Network (Specific Model)	11	0.881	11860	285.87624309392265	878885	0.5	905	106	66144	None
59620_uncultured_Clostridium_sp.	77.22	2.54	Neural Network (Specific Model)	11	0.859	10238	286.8951828724353	2243672	0.27	2242	283	33236	None
729_Haemophilus_parainfluenzae	41.49	0.12	Neural Network (Specific Model)	11	0.908	4928	264.0055617352614	783629	0.4	899	167	18055	None
83427_uncultured_Streptococcus_sp.	45.09	0.22	Neural Network (Specific Model)	11	0.891	11130	294.23578947368424	938813	0.42	950	98	33395	None
